sim_beta_c_cCond,sim_beta_e_cCond,sim_beta_c_eCond,sim_beta_e_eCond,sim_alpha,sim_q_init,fit_beta_c_cCond,fit_beta_e_cCond,fit_beta_c_eCond,fit_beta_e_eCond,fit_alpha,fit_q_init
-1.4836,1.2794,1.2227,2.2317,-0.034825,3.0201,-1.2648,1.4347,1.5001,2.3005,-0.4278,2.467
0.20868,2.4378,0.052643,-0.63411,1.0437,1.3657,-1.2329,2.7775,-0.35727,-1.4056,1.1615,0.78541
2.7298,1.656,1.0433,-2.0069,-2.1871,4.2984,2.4878,1.5998,0.26262,-0.64867,-2.0195,4.5589
0.65735,-1.2438,1.7871,3.5367,-3.6944,2.4524,-0.73853,0.4139,0.10298,3.5775,-3.5325,2.3234
0.087237,4.1198,1.2857,1.029,-2.7776,-1.4447,0.58338,4.2013,1.0649,1.0397,-2.5987,-1.753
1.2849,3.9665,-1.275,1.8766,0.42684,3.3059,0.34946,4.0372,-0.13768,2.0342,0.065167,2.2921
-1.3838,1.6264,1.1421,1.6653,-3.0596,0.45483,-0.52173,1.3494,-0.89335,1.2098,-2.3262,0.61113
2.5679,0.56097,-0.23907,-1.246,-0.47558,-0.12136,2.9085,0.20461,-0.88003,-0.79744,-1.3681,-0.10882
-0.49498,3.9841,-0.81021,1.1677,1.8166,-0.87598,-0.098676,4.988,-0.48653,1.3793,1.4538,-0.43724
0.056927,0.12757,-0.39975,-0.29521,-0.63839,4.1548,0.91815,0.49006,0.68719,0.10302,-1.8708,2.097
-0.79516,0.32608,1.81,-1.3001,-0.077238,1.3837,0.15407,0.053185,1.888,-1.056,0.48778,0.89736
-1.1273,1.2408,2.133,-0.18289,-3.3872,-0.50774,-1.2428,0.25047,1.3429,-0.13286,-1.839,-1.548
-1.1923,-0.53975,1.6622,1.3663,-3.1947,3.1814,-0.38879,-0.64648,2.2904,1.74,-2.8226,2.3938
1.3594,0.65248,2.4071,-1.7266,-1.7052,3.4668,1.5411,-1.3583,2.605,-0.49237,-1.5633,4.5598
-0.29491,-0.45399,-0.13117,1.1336,-0.28758,2.1245,-0.17562,0.32882,-1.616,1.1471,-0.67895,2.3767
0.43763,1.5208,1.6554,3.0957,-0.18892,2.3801,0.34441,1.7743,2.0275,3.1689,-0.45557,1.6584
-0.11433,2.5795,-0.70344,-0.30292,-3.1392,-0.6296,-1.028,2.2266,-0.91334,-1.031,-3.2041,-1.2976
2.3263,4.2473,1.8375,3.2657,-3.4352,0.51563,1.7691,3.4334,-0.94939,2.7323,-2.5151,1.101
0.16523,-1.4873,1.999,-0.17603,1.5071,0.26321,-0.42991,-1.2754,2.3005,0.70056,1.2648,-0.22695
1.4825,-0.49112,-0.50166,1.3241,-1.6172,0.77998,1.3594,-0.85766,-0.67933,1.1472,-1.9381,0.71934
2.7712,1.6258,1.1931,2.0408,-2.3817,-2.3983,2.4988,2.1062,0.71893,1.6551,-1.7074,-3.1643
-0.85385,-1.4932,0.46278,3.1956,0.6962,-0.88551,-1.706,-1.8296,-0.47967,2.9482,1.6317,-1.2065
2.7638,0.67763,-1.6799,-0.54107,-2.6777,-2.4354,2.8937,-0.32213,-0.6082,-0.52433,-2.9036,-1.8823
-0.42907,-1.7833,-0.34601,3.4081,1.8163,-0.59134,-1.4282,-1.8797,-0.89968,3.4048,0.71583,-0.31977
0.49514,1.8344,2.0236,-2.1836,-0.49493,1.1384,-0.59625,2.2167,1.7683,-0.91725,-0.60285,0.86899
0.80532,4.0576,1.0783,4.1057,1.3094,1.1453,2.621,3.8939,0.083257,4.0511,1.6764,2.4603
-0.93423,3.25,0.93338,3.209,1.4355,-2.187,0.23403,3.72,-0.54419,3.8803,0.98505,-2.2325
1.2883,-0.28806,1.5929,2.1755,-2.3452,2.7542,1.2322,-1.2888,1.6335,2.169,-2.6827,1.9277
-0.56396,1.8033,-0.28429,3.8732,-2.9868,3.179,-0.55518,2.1934,0.12338,3.5955,-3.3589,2.5375
2.1662,0.18312,2.3142,1.3688,-2.7331,-1.4166,1.9759,-0.066285,2.263,0.33437,-2.8893,-2.1463
-0.60618,-0.89045,-1.3426,-0.26627,0.69524,1.5782,-1.1027,-1.5542,-2.0834,0.29865,0.91366,1.084
1.4889,-1.2869,-0.45495,1.4211,0.38915,0.97268,1.6607,-1.0999,0.52416,1.7489,-0.27198,0.85445
-0.3099,-1.5409,0.74984,-0.30482,-1.4516,1.138,0.50744,-1.0357,1.4731,-1.0275,-1.7287,1.4025
2.4368,0.038472,-0.18367,-1.892,0.83198,0.68997,2.7485,-0.73071,-0.51565,-1.3843,0.83363,0.93738
2.815,-0.56704,-0.85954,0.30424,0.29253,4.1136,2.9854,-1.3006,-0.21667,0.5919,0.25706,3.1434
1.8575,2.4273,0.16913,-0.39159,0.19046,-2.3559,1.6415,2.9486,0.86532,0.77244,-0.45355,-1.1507
-0.36088,-1.6832,0.14735,-0.053336,1.3745,1.9841,-0.090537,-1.0855,-0.93638,1.4852,-2.4155,0.88292
2.5114,4.0765,-0.32862,2.5512,-2.62,0.8857,2.6136,3.4764,-0.1885,2.4302,-2.4574,1.1803
0.98452,1.8812,1.082,-1.9215,-1.3647,1.7644,0.98498,1.4485,0.62113,-0.043276,-0.86505,1.9189
1.8069,0.7362,1.6379,-1.2735,-3.8887,4.4601,0.47946,2.2634,1.2583,1.4296,-3.4088,3.0231
2.7703,4.0203,0.47246,-1.4562,-0.74179,4.3473,0.44279,5.2646,0.89885,-1.1736,-0.85731,2.8093
1.2762,-0.80478,0.69103,-1.5261,-3.6346,1.7962,-0.9414,1.4559,0.54004,-0.72062,-2.0545,2.1851
1.7315,-0.15855,-1.6462,3.639,-2.3518,2.0499,1.8082,-1.2305,-0.78653,3.8454,-2.289,1.7447
1.6403,3.1418,2.2583,-2.1839,1.0169,3.4744,1.7316,2.7911,2.3837,0.4197,1.096,3.7342
-0.65328,-0.48673,2.1934,3.6633,0.90752,2.9615,-0.12296,-1.3004,2.8653,4.3254,0.20273,2.3243
1.1516,1.1157,0.30059,1.447,-3.0993,-1.1534,1.2786,-0.74959,1.1307,0.72656,-3.211,-1.5336
-1.2594,-1.1511,-1.4067,2.6874,-4.0751,1.7125,-1.5923,-1.7545,2.7388,0.26788,-4.4528,1.5337
-0.36293,-0.83924,-0.49238,1.0003,-0.89727,1.6566,-0.69644,0.034506,-1.0486,0.97224,-0.21095,1.4228
0.34823,2.1333,0.45358,-0.2235,-3.5893,0.040266,0.50247,-0.50903,-0.59718,-1.3132,-2.4771,0.65659
-1.4384,1.5927,0.0048976,0.57138,-2.1576,-1.1006,0.11659,1.7657,0.7498,0.018469,-2.0104,-1.3133
-0.17183,4.2085,1.1175,1.116,-1.8742,-0.14139,-0.84372,3.3819,0.32904,1.183,-1.1363,-0.419
-1.0167,0.92185,-1.4094,4.3174,-2.9428,1.8986,0.25668,0.38237,0.021346,4.6969,-2.8408,2.4064
2.3212,1.5247,-0.45341,-1.159,-1.1522,-1.4669,2.0743,1.0607,-0.055988,-1.6712,-0.9054,-1.7634
3.1346,0.1951,2.324,4.3081,-0.63205,4.0337,3.1602,-0.45031,1.2559,5.0413,-0.71078,3.8145
2.5555,3.2912,0.37607,0.08116,0.2127,3.8502,2.5889,3.8466,0.49285,-0.78151,0.20362,2.8557
2.6555,-1.3716,-0.5942,2.8888,-3.8916,1.6122,2.0937,0.41068,1.4,1.9304,-3.0129,3.5807
0.16765,1.4943,2.3281,-0.077421,-3.96,3.6401,-0.078155,1.6063,2.8584,-0.060813,-3.9478,2.7064
1.1333,3.6434,0.75917,2.0742,-2.9269,3.6133,-0.064452,3.7044,-0.72259,2.7767,-2.9294,2.6798
-1.1995,-1.0138,-1.8749,-1.9565,0.85208,0.87208,-0.90342,-1.111,-1.6736,-1.7647,0.33832,0.2455
3.172,3.053,1.429,-1.8993,-0.65265,0.52338,2.8922,2.6624,1.4493,-1.427,-0.21998,0.53474
2.7847,3.9687,-1.7033,4.3759,-1.8797,3.4238,2.762,4.238,0.030923,4.5344,-1.8043,3.5923
-0.13391,-0.30008,1.8069,2.047,-0.26069,-0.44105,0.19987,0.62229,1.9239,2.472,-0.53038,-0.32399
2.0979,-0.71419,1.5076,1.2317,-0.43103,0.63765,2.2487,1.0793,1.466,1.0155,0.10203,0.62336
2.2798,2.7162,0.17754,1.8145,1.065,1.4385,2.249,3.347,-0.62124,1.9521,1.7471,1.1464
-0.80078,2.9726,0.58589,2.9727,-0.59431,-0.0046538,0.098613,2.5702,0.2387,2.6618,-0.24795,0.037326
1.9699,1.6965,1.5974,-0.87266,-0.32435,2.948,2.0487,1.6562,1.5156,-0.04149,0.13216,3.9836
1.2964,0.47777,-1.3226,2.3847,-0.71314,-1.8018,1.4276,0.89,0.43524,2.4924,-0.72563,-1.7929
1.6534,-0.015965,1.7826,-1.3701,-2.9544,2.8092,1.2221,1.1534,1.5672,1.4665,-2.3744,2.4414
0.59424,0.50394,-0.83347,0.53424,-3.66,-1.2188,-0.78646,0.8639,-0.47271,0.73891,-2.0598,-1.6692
0.88424,0.61093,-0.14636,-0.24134,0.08585,0.74531,-0.11538,1.451,0.78212,0.26211,-0.69033,0.33653
-1.0026,2.9739,0.47033,4.2443,-1.366,2.0412,-1.245,2.6448,-0.1272,4.0684,-1.1265,2.6584
2.4957,-1.6056,1.7187,3.9678,1.0111,4.2906,2.713,-1.0862,-0.003838,4.6547,0.61101,3.8569
1.3329,4.0742,2.1909,1.3331,-0.56231,0.99371,0.21622,4.4492,2.3835,1.6508,-0.53973,0.9203
0.69215,3.5127,1.7622,-1.7176,1.7298,-1.6256,-0.046894,4.5758,1.6644,-1.5623,1.9377,-0.6387
-0.88961,3.2913,1.6336,-0.96467,-0.9035,-2.3779,-0.3943,3.2902,1.5617,-0.74935,-0.80985,-2.4259
-0.2454,4.3051,1.8181,-2.0251,-0.99952,4.0382,-0.43789,4.0525,1.6315,-0.64555,-1.1369,3.1534
2.8508,4.0433,0.71135,2.699,-3.2453,0.14734,1.9613,2.7626,0.17905,1.4267,-1.7237,0.42525
-0.41686,0.5443,1.3482,-0.35816,1.5216,1.3952,-0.0090492,0.57758,1.5719,-0.16815,0.56198,2.186
-1.1861,-0.86222,0.034692,-0.042528,-0.067594,2.9542,-0.51355,-1.023,-0.16823,1.121,-1.7536,2.2937
2.1214,-0.26333,-1.3524,3.8673,1.5131,2.4552,2.0847,-0.53292,-0.1584,3.8764,1.2197,2.948
2.8639,0.91489,-0.20443,0.46715,-1.6613,2.9128,2.629,-0.10947,-0.60916,0.28943,-1.6434,3.385
-0.27096,-1.5725,0.1208,-1.7168,0.52962,-0.48026,-1.7134,0.23189,0.18718,-0.19786,1.662,-0.93497
2.1004,-0.55744,1.254,1.2653,-0.65849,4.0331,2.2682,-0.084224,1.9043,1.345,-1.1116,2.565
1.8161,3.7147,0.25255,2.0218,0.047686,1.9375,2.3575,4.0759,0.82532,1.964,0.23139,1.8027
2.655,2.7549,2.6089,-1.6056,1.3406,-1.5245,2.3143,2.6633,2.5698,-1.5567,1.1794,-2.0901
-0.199,0.26279,1.0011,-0.41889,0.8232,0.40857,0.10984,-0.38818,0.66376,0.061828,1.8031,1.5121
0.52958,-0.58607,1.3113,-2.1675,-2.3557,2.5602,0.5668,-0.48023,1.3235,-0.46648,-2.6714,2.6124
-0.80567,1.1736,-1.3921,3.2294,-3.1521,1.2943,-1.3372,1.0706,-0.0012999,2.8526,-2.591,1.8443
2.3638,3.8639,2.4786,-1.8417,-1.4699,-2.5077,2.9355,3.7967,2.1871,-1.6137,-1.4578,-2.9614
-1.261,0.29777,1.6653,-0.71065,0.84842,2.475,-1.32,0.346,1.6226,-0.76327,0.48872,3.6873
2.5198,2.1119,-1.9707,-0.046131,-3.5581,4.1143,-0.048458,3.762,-1.3051,0.20924,-3.1578,2.2989
-0.76842,-0.16299,-0.74851,-1.2196,1.1455,2.7041,-1.5997,0.57858,0.68873,-0.62813,-0.052216,2.4974
0.56911,3.5985,-1.5277,-1.1895,-1.6246,1.6863,-0.70489,3.1885,-2.2535,-1.2719,-1.0579,2.9537
-0.23586,2.8359,1.6053,2.5088,-0.93685,-1.4041,-0.16089,2.4917,1.7085,2.4798,-0.64467,-2.121
2.1306,-0.39487,-0.79916,0.5794,0.044421,-1.2667,2.1051,-0.204,-0.19191,0.48616,1.4512,-2.1021
-1.2515,2.7877,2.6077,-1.0424,1.3796,3.4091,-1.0004,2.9905,2.7885,0.049797,1.1354,3.0008
-1.1171,0.16114,-0.12931,-0.59471,-0.10747,0.39003,-0.17308,0.51726,-0.27515,-2.1042,2.0834,-1.3577
-0.53058,1.5889,1.0419,1.6792,-2.7772,2.5919,-0.71176,1.4482,1.55,-0.071963,-3.3932,2.8516
1.3862,2.2641,2.5105,-2.1525,-0.28838,3.5233,1.6501,2.8703,2.74,-1.1798,-0.30464,2.0504
1.2534,2.4462,1.6711,-0.93149,-2.3986,-0.91666,-0.21265,2.6351,1.2748,0.97326,-2.0772,-0.96134
-0.8008,-1.2428,0.80414,0.15073,-2.8826,3.4451,-1.2383,-0.82721,0.62142,0.75713,-1.982,3.2552
0.77683,0.12555,0.34228,3.3872,-0.16246,2.5613,0.51206,-1.2368,0.87232,2.9506,-0.12921,3.1306
-0.43034,3.5029,0.53192,0.818,-1.7155,4.2624,0.24733,3.9696,-0.94627,1.7243,-2.3649,1.8996
2.4991,-1.4827,0.58719,0.53398,-1.3733,-1.5361,2.6259,-0.82814,1.3863,0.89405,-1.38,-1.4061
2.7562,3.985,0.051209,2.755,-2.6928,-1.9568,2.397,3.6481,1.6492,2.9055,-2.4914,-2.1783
1.5095,3.7547,-0.42387,-0.26424,-0.89047,-0.36331,1.1823,3.2458,-0.84736,-0.29268,-0.73119,-0.64538
2.2154,-0.27429,2.2129,3.8395,-2.5817,1.3464,2.2206,0.15427,3.3847,3.9223,-2.5283,1.355
-0.82383,-0.29038,2.6132,4.0148,-2.1435,0.2933,-0.97652,-0.62476,2.5041,3.72,-1.6311,0.37172
2.9871,2.088,-1.7789,-1.9761,-0.22708,-0.98855,3.0314,2.4588,-0.97315,-1.1084,0.097787,-1.4251
2.4799,0.69757,0.50421,-0.79054,-3.1566,0.76367,2.4173,1.9471,-1.5848,-1.3773,-2.5746,0.51207
-1.4109,3.3343,0.43579,-0.34341,-2.2028,1.4248,0.15517,3.1617,0.042942,-1.1927,-1.7483,1.845
2.8565,-1.3937,-0.10809,3.9872,-0.70792,-1.1245,3.1144,1.8391,0.15112,4.1388,-0.94155,-0.64168
